,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,693763,-,-,-,33.21,-97.14,-6,203,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,v3.0.1
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2009,1,3,21,30,0,0,0,2.2,12,138.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2009,1,3,22,0,0,0,0,2.1,12,144.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2009,1,3,22,30,0,0,0,1.8,11,150.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2009,1,3,23,0,0,0,0,1.6,11,156.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2009,1,3,23,30,0,0,0,2.0,10,162.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2009,1,4,0,0,0,0,0,2.4000000000000004,9,167.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2009,1,4,0,30,0,0,0,3.3000000000000003,8,169.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2009,1,4,1,0,0,0,0,4.3,7,167.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2009,1,4,1,30,0,0,0,4.9,6,163.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2009,1,4,2,0,0,0,0,5.6000000000000005,5,158.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2009,1,4,2,30,0,0,0,5.7,4,152.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2009,1,4,3,0,0,0,0,5.9,3,146.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2009,1,4,3,30,0,0,0,6.1000000000000005,2,139.95000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2009,1,4,4,0,0,0,0,6.300000000000001,2,133.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2009,1,4,4,30,0,0,0,6.2,1,127.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2009,1,4,5,0,0,0,0,6.2,1,121.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2009,1,4,5,30,0,0,0,6.1000000000000005,0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2009,1,4,6,0,0,0,0,6.0,0,108.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2009,1,4,6,30,0,0,0,6.0,0,102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2009,1,4,7,0,0,0,0,6.1000000000000005,0,97.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2009,1,4,7,30,0,0,0,6.300000000000001,0,91.32000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2009,1,4,8,0,49,25,326,6.5,0,85.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2009,1,4,8,30,134,44,548,6.5,0,80.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2009,1,4,9,0,226,57,679,6.5,0,75.57000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2009,1,4,9,30,315,66,762,6.4,1,70.96000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2009,1,4,10,0,395,72,820,6.300000000000001,2,66.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2009,1,4,10,30,378,144,517,6.1000000000000005,2,63.160000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2009,1,4,11,0,522,79,889,6.1000000000000005,3,60.160000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2009,1,4,11,30,467,163,572,6.0,4,57.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2009,1,4,12,0,486,175,561,6.0,5,56.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
